Instructor ID                 	      Pass Rate	      
I01                           	      61.89%	      	
I02                           	      55.33%	      	
I03                           	      90.00%	      	
I04                           	      42.05%	      	
I06                           	      82.61%	      	
I07                           	      92.84%	      	
I08                           	      47.03%	      	
I10                           	      87.77%	      	
I11                           	      61.29%	      	
I12                           	      61.15%	      	
I14                           	      83.55%	      	
I15                           	      81.29%	      	
I16                           	      50.64%	      	
I17                           	      71.64%	      	
I18                           	      67.03%	      
I19                           	      85.93%	      	
I20                           	      67.08%	      	
I21                           	      54.67%	      	
I22                           	      78.41%	      	
I23                           	      78.88%	      	
I24                           	      82.86%	      	
I25                           	      70.00%	      	
I26                           	      66.67%	      	
I27                           	      83.71%	      	
I28                           	      40.17%	
